DICIONARIO,,,,,,,,,,
PALAVRA/SINGULAR,,SIGNIFICADO/TRADUÇÃO,,CLASE,,PLURAL,,PRONÚNCIA,USO,AMBIENTE
Mosha,,Caminhar / Andar,,Verbo,,-,,Mô-cha,Deslocamento lento (a pé).,AMBOS
Hona,,Aproximar-se,,Verbo,,-,,Hô-na,Chegar perto de algo.,AMBOS
Loja,,Parar / Cessar,,Verbo,,-,,Lô-ja,Interromper movimento.,AMBOS
Hamsha,,Carpinteiro / Construtor,,Subst.,,Hamshais,,Hám-cha,Hamshe,AMBOS
Hamata,,Ferreiro,,Subst.,,Hamatais,,Ha-má-ta,Hamet,AMBOS
Mato,,Soldado / Guerreiro,,Subst.,,Matois,,Má-to,Matoi,AMBOS
Uela,,Camponês / Agricultor,,Subst.,,Uelais,,U-é-la,Ouoie,AMBOS
Refa,,Músico / Bardo,,Subst.,,Refais,,Ré-fa,Ref (Prefixo de agente) + Mousike,AMBOS
Saia,,Médico / Curandeiro,,Subst.,,Saiais,,Sái-a,Sain (Médico),AMBOS
Eshot,,Comerciante,,Subst.,,Eshotis,,E-chót,Eshot,AMBOS
Man,,Pastor,,Subst.,,Manis,,Man,Mone,AMBOS
Benipa,,Ferro,,Subst. Masc.,,-,,Be-ni-pa,Benipe,AMBOS
Hata,,Prata,,Subst. Masc.,,-,,Há-ta,Hat (Metal precioso).,AMBOS
Shea,,Madeira,,Subst. Fem.,,Sheais,,Chê-a,She (Árvore/Madeira).,AMBOS
Nuba,,Ouro,,Subst. Masc.,,-,,Nú-ba,"Noub (Já tínhamos como cor, agora como metal).",AMBOS
Hebsa,,Roupa / Tecido,,Subst. Masc.,,Hebsais,,Héb-sa,Hbsō (Vestimenta).,AMBOS
Aroma,,Couro / Pele,,Subst. Fem.,,Aromais,,A-rô-ma,Aar (Pele) + terminação suavizada.,AMBOS
Shoita,,Areia,,Subst. Fem.,,-,,Chói-ta,Shoite.,AMBOS
Alka,,Pedra Preciosa,,Subst. Fem.,,Alkais,,Ál-ka,Ana-l (Pedra) + Ka (Espírito/Brilho).,AMBOS
Erpe,,Templo,,Subst. Neutro,,Erpeis,,Er-pé,Erpei,AMBOS
Puria,,Castelo / Fortaleza/reino,,Subst. Neutro,,Purais,,Pú-ra,Pyrgos (Torre/Forte),AMBOS
Manje,,Taverna / Estalagem,,Subst. Neutro,,Manjeis,,Man-jê,Man (Lugar) + Je (Bebida/Comida),AMBOS
,,,,,,,,Ái-a,"Ei (Já tínhamos, reforçando como Ni)",AMBOS
Koia,,Campo / Fazenda,,Subst. Neutro,,Koais,,Kô-a,Koi,AMBOS
Mosa,,Ponte,,Subst. Neutro,,Mosais,,Mô-sa,Mouts,AMBOS
Hira,,Estrada / Caminho,,Subst. Neutro,,Hirais,,Hi-ra,Hir,AMBOS
Hepa,,Vinho,,Subst. Neutro,,Hepais,,Hé-pa,Ērp (Vinho).,AMBOS
Hekta,,Cerveja,,Subst. Neutro,,Hektais,,Hék-ta,Hekt (Cerveja egípcia).,AMBOS
Afia,,Carne,,Subst. Neutro,,Afiais,,Á-fi-a,Af (Carne).,AMBOS
Uma,,Fruta / Legume,,Subst. Neutro,,Umais,,Ú-ma,Ouom (Comer/Alimento).,AMBOS
Mel,,Mel,,Subst. Neutro,,-,,Mel,Mel (Empréstimo Grego/Copta).,AMBOS
Bana,,Tâmara / Fruta Doce,,Subst. Neutro,,Banais,,Bá-na,Bni (Tâmara).,AMBOS
Surah,,Leite,,Subst. Neutro,,-,,Su-ráh,Erote (Leite) -> adaptado.,AMBOS
Kem,,Sal,,Subst. Neutro,,-,,Kem,Hmou (Sal) -> adaptado para soar alquímico.,AMBOS
Ua,,Quero,,Verbo,,-,,Ua,,AMBOS
Onha,,Vida,,Subst. Fem.,,-,,Ôn-ha,Onh (Vida).,AMBOS
Muna,,Morte,,Subst. Fem.,,-,,Mú-na,Mou (Morte).,AMBOS
Ka,,Alma / Espírito,,Subst. Masc.,,Kais,,Ká,Ka (Conceito vital egípcio).,AMBOS
Kan,,Brilho,,Subst. Masc.,,Kanis,,Kân,,
Rina,,Nome,,Subst. Masc.,,Rinais,,Ri-na,Ren (Nome).,AMBOS
Maa,,Verdade,,Subst. Fem.,,-,,Má-a,Maat (Verdade/Justiça).,AMBOS
Jol,,Mentira,,Subst. Fem.,,Jolis,,Jól,Col (Mentira/Falsidade).,AMBOS
Rasu,,Sonho,,Subst. Masc.,,Rasuis,,Rá-su,Rasou (Sonho).,AMBOS
Heka,,Magia / Poder,,Subst. Masc.,,Hekais,,Hê-ka,"Heka (Já tínhamos, mas agora como conceito).",AMBOS
Yoma,,Mar,,Subst. Masc.,,Yomais,,Yo-má,,AMBOS
Kopa,,Porta / Passagem,,Subst. Fem.,,Kopais,,Kô-pa,,AMBOS
Uola,,Janela,,Subst. Fem.,,Uolais,,U-ó-la (Derivado de Uoina/Luz),,AMBOS
Loma,,Cama / Leito,,Subst. Fem.,,Lomais,,Lô-ma,,AMBOS
Tana,,Mesa,,Subst. Fem.,,Tanais,,Tá-na,,AMBOS
Sita,,Cadeira / Assento,,Subst. Fem.,,Sitais,,Si-ta,,AMBOS
Faka,,Faca / Lâmina curta,,Subst. Masc.,,Fakais,,Fá-ka,,AMBOS
Pato,,Prato,,Subst. Masc.,,Patois,,Pá-to,,AMBOS
Kopo,,Copo / Taça,,Subst. Masc.,,Kopois,,Kô-po,,AMBOS
Baza,,Mercado / Feira,,Subst. Fem.,,Bazais,,Bá-za,,AMBOS
,,,,,,,,Mú-ra,,AMBOS
Yara,,Barco / Canoa,,Subst. Fem.,,Yaris,,Yá-ra,,AMBOS
Pash,,Remo,,Subst. Masc.,,Pashis,,Pách (Som de água batendo),,AMBOS
Vela,,Vela (de barco),,Subst. Fem.,,Velais,,Vé-la,,AMBOS
Hiria,,Viagem / Jornada,,Subst. Fem.,,Hirais,,Hi-ra,,AMBOS
Mapu,,Mapa,,Subst. Masc.,,Mapuis,,Má-pu,,AMBOS
Bra,,Braço,,Subst. Masc.,,Brais,,Brá,,AMBOS
Vena,,Perna,,Subst. Fem.,,Venais,,Vê-na,,AMBOS
Kala,,Dedo,,Subst. Masc.,,Kalais,,Ká-la,,AMBOS
Tumb,,Barriga / Estômago,,Subst. Neutro,,Tumbis,,Tumb,,AMBOS
Nipa,,Dente,,Subst. Masc.,,Nipais,,Ni-pa,,AMBOS
Pel,,Pele,,Subst. Fem.,,Pelis,,Pél,,AMBOS
Lina,,Alegria / Felicidade,,Subst. Fem.,,-,,Li-na,,AMBOS
Huma,,Medo,,Subst. Masc.,,Humais,,Hú-ma,,AMBOS
Dira,,Dor,,Subst. Fem.,,Dirais,,Di-ra,,AMBOS
Mina,,Mente / Pensamento,,Subst. Fem.,,Minais,,Mi-na,,AMBOS
Soma,,Sono (Vontade de dormir),,Subst. Neutro,,-,,Sô-ma,,AMBOS
Kora,,Coragem,,Subst. Fem.,,-,,Kô-ra,,AMBOS
Gria,,Escrever,,Verbo,,-,,Gri-a,,AMBOS
Lēra,,Ler,,Verbo,,-,,Lê-ra,,AMBOS
Aba,,Abrir,,Verbo,,-,,A-ba,,AMBOS
Klo,,Fechar,,Verbo,,-,,Klô,,AMBOS
Koa,,Comprar,,Verbo,,-,,Kô-a,,AMBOS
Veta,,Vender,,Verbo,,-,,Vê-na,,AMBOS
Hana,,Caçar,,Verbo,,-,,Há-na,,AMBOS
Tami,,Cozinhar,,Verbo,,-,,Ta-mi (Derivado de Tamia/Criar),,
Wotia,,Folha,,Subst. Fem.,,Wotiais,,,,
Zura,,Ultima/Final,,Subst. Fem.,,Zurais,,,,
Ant,,Até,,Preposição,,,,,,
Kwaý,,Acontecimento muito ruim,,Subst. Masc.,,-,,Kuaii,,
Zarakura,,Continente,,Subst. Fem.,,Zarakurais,,Zarakurá,,
Soka,,Puxar / Trazer,,Verbo,,-,,Só-ka,,
Toba,,Empurrar,,Verbo,,-,,Tó-ba,,
Nuja,,Jogar / Lançar,,Verbo,,-,,Nu-já,,
Shota,,Cortar / Fatiar,,Verbo,,-,,Chó-ta,,
Kla,,Quebrar / Partir,,Verbo,,-,,Clá,,
Ama,,Segurar / Manter,,Verbo,,-,,Á-ma,,
Aha,,Levantar / Erguer,,Verbo,,-,,A-há,,
Oma,,Lama / Barro,,Subst. Masc.,,Omais,,Ô-ma,,
Shua,,Fumaça / Vapor,,Subst. Masc.,,Shuais,,Chu-a,,
Jafra,,Gelo,,Subst. Masc.,,Jafrais,,Ja-frá,,
Nuna,,Raiz,,Subst. Fem.,,Nunais,,Nu-na,,
Kahi,,Pó / Poeira,,Subst. Masc.,,-,,Ká-hi,,
Ene,,Sempre / Eterno,,Advérbio,,-,,Ê-né,,
Nene,,Nunca / Jamais,,Advérbio,,-,,Nê-né,,
Meka,,Talvez / Possível,,Advérbio,,-,,Mé-ka,,
Nasha,,Muito / Muitos,,Advérbio,,-,,Ná-cha,,
Tai,,Aqui,,Advérbio,,-,,Tái,,
Je,,Lá / Ali,,Advérbio,,-,,Jê,,
Jora,,Duro / Forte,,Adjetivo,,Jorais,,Jó-ra,,
Lela,,Mole / Macio,,Adjetivo,,Lelais,,Lé-la,,
Kosa,,Seco,,Adjetivo,,Kosais,,Kó-sa,,
Laka,,Molhado / Úmido,,Adjetivo,,Lakais,,Lá-ka,,
Mēta-Wa,,11,,Numeral,,-,,,,
Mēta-Snava,,12,,Numeral,,-,,,,
Mēta-Shomta,,13,,Numeral,,-,,,,
Mēta-Fotu,,14,,Numeral,,-,,,,
Mēta-Tiwa,,15,,Numeral,,-,,,,
...,,...,,Numeral,,-,,,,
Mēta-Psita,,19,,Numeral,,-,,,,
Snavamē,,20,,Numeral,,-,,,,
Shomtamē,,30,,Numeral,,-,,,,
Fotumē,,40,,Numeral,,-,,,,
Tiwamē,,50,,Numeral,,-,,,,
Soamē,,60,,Numeral,,-,,,,
Sashfamē,,70,,Numeral,,-,,,,
Shamnamē,,80,,Numeral,,-,,,,
Psitamē,,90,,Numeral,,-,,,,
She,,100,,Numeral,,-,,,,
Sho,,1.000,,Numeral,,-,,,,
Sur,,0 (Zero),,Numeral,,-,,,,
Kela,,Escudo,,Subst. Masc.,,Kelais,,,Copta Kel (Escudo).,
Hopsa,,Armadura,,Subst. Fem.,,Hopsais,,,Copta Hops (Cobrir/Armar).,
Pite,,Arco,,Subst. Masc.,,Piteis,,,Copta Pite.,
Sote,,Flecha,,Subst. Masc.,,Soteis,,,Copta Sote.,
Jaja,,Inimigo,,Subst. Masc.,,Jajais,,,Copta Jaje. Som áspero.,
Romena,,Lança,,Subst. Fem.,,Romenais,,,Copta Lom.,
Taka,,Atacar / Golpear,,Verbo,,-,,,Som explosivo (T/K).,
Nahta,,Proteger / Defender,,Verbo,,-,,,Copta Nahte (Confiança/Proteção).,
Mora,,Amarrar / Prender,,Verbo,,-,,,Copta Mur. Útil para prisioneiros.,
,,,,,,,,,"(Cuidado: Já temos Sura como ""Morto/Vazio"". Vamos mudar para Kina).",
Kina,,Perigo,,Subst. Masc.,,Kinais,,,Copta Kinos.,
Suna,,Saber / Conhecer,,Verbo,,-,,,Copta Saune. (Diferente de Sona que é Irmão).,
Meua,,Pensar,,Verbo,,-,,,"Copta Meeue. Som mental, suave.",
Obsha,,Esquecer,,Verbo,,-,,,Copta Obsh.,
Mera,,Lembrar,,Verbo,,-,,,Derivado de Meua (Pensar de novo).,
Hapa,,Segredo / Oculto,,Subst. Masc.,,Hapais,,,Copta Hap.,
Wana,,Luz Divina / Poder,,Subst. Fem.,,Wanais,,,Copta Ouein. Diferente de Uoina (Luz física).,
Bela,,Cego / Sem visão,,Adjetivo,,-,,,"Copta Balle. Metaforicamente ""Ignorante"".",
Numa,,"""Assim está escrito / Não há o que fazer."" 
É a aceitação do destino, seja bom ou ruim.",,Holopfrases,,-,,Numá,"Quando alguém morre ou quando se ganha na loteria. ""Numa.""",
